"","long","lat","group","order","region","subregion"
"51306",92.6526336669922,22.04931640625,839,51306,"India",NA
"51314",92.4304733276367,22.8218250274658,839,51314,"India",NA
"51322",92.1871109008789,23.675537109375,839,51322,"India",NA
"51330",91.9191436767578,23.4710445404053,839,51330,"India",NA
"51338",91.5535125732422,22.9915523529053,839,51338,"India",NA
"51346",91.359375,23.068359375,839,51346,"India",NA
"51354",91.33642578125,24.018798828125,839,51354,"India",NA
"51362",91.7265625,24.205078125,839,51362,"India",NA
"51370",92.0641632080078,24.3743648529053,839,51370,"India",NA
"51378",92.2512664794922,24.8950672149658,839,51378,"India",NA
"51386",92.0497055053711,25.1694831848145,839,51386,"India",NA
"51394",90.5552749633789,25.1666011810303,839,51394,"India",NA
"51402",89.8008804321289,25.3361320495605,839,51402,"India",NA
"51410",89.5857467651367,26.18603515625,839,51410,"India",NA
"51418",89.1082992553711,26.2022457122803,839,51418,"India",NA
"51426",88.9815444946289,26.2861328125,839,51426,"India",NA
"51434",88.6806640625,26.3529777526855,839,51434,"India",NA
"51442",88.4367141723633,26.4371089935303,839,51442,"India",NA
"51450",88.0973663330078,25.9563484191895,839,51450,"India",NA
"51458",88.5934524536133,25.4953136444092,839,51458,"India",NA
"51466",88.89013671875,25.1943855285645,839,51466,"India",NA
"51474",88.2794952392578,24.8819332122803,839,51474,"India",NA
"51482",88.2249984741211,24.4606437683105,839,51482,"India",NA
"51490",88.7265625,24.1862316131592,839,51490,"India",NA
"51498",88.6976547241211,23.4930171966553,839,51498,"India",NA
"51506",88.8669891357422,22.9388675689697,839,51506,"India",NA
"51514",89.0514678955078,22.0931644439697,839,51514,"India",NA
"51522",88.8575134277344,21.7446765899658,839,51522,"India",NA
"51530",88.7082977294922,22.05615234375,839,51530,"India",NA
"51538",88.2874984741211,21.7582035064697,839,51538,"India",NA
"51546",88.0871124267578,22.2177238464355,839,51546,"India",NA
"51554",88.05078125,22.0010738372803,839,51554,"India",NA
"51562",86.84228515625,21.1063480377197,839,51562,"India",NA
"51570",86.7503890991211,20.313232421875,839,51570,"India",NA
"51578",86.2794876098633,19.91943359375,839,51578,"India",NA
"51586",85.5040969848633,19.8876953125,839,51586,"India",NA
"51594",85.4416046142578,19.6265621185303,839,51594,"India",NA
"51602",84.1041030883789,18.2926750183105,839,51602,"India",NA
"51610",82.2865295410156,16.9780769348145,839,51610,"India",NA
"51618",82.1415023803711,16.4853515625,839,51618,"India",NA
"51626",80.9934539794922,15.8087406158447,839,51626,"India",NA
"51634",80.3848648071289,15.7927732467651,839,51634,"India",NA
"51642",80.13623046875,14.2865715026855,839,51642,"India",NA
"51650",80.2333984375,13.6057615280151,839,51650,"India",NA
"51658",80.0374984741211,12.2958011627197,839,51658,"India",NA
"51666",79.7990264892578,11.3386726379395,839,51666,"India",NA
"51674",79.5316390991211,10.3296394348145,839,51674,"India",NA
"51682",78.953125,9.393798828125,839,51682,"India",NA
"51690",78.4214859008789,9.10502910614014,839,51690,"India",NA
"51698",77.517578125,8.07832050323486,839,51698,"India",NA
"51706",76.4523391723633,9.18876934051514,839,51706,"India",NA
"51714",76.3722686767578,9.70737266540527,839,51714,"India",NA
"51722",76.1926727294922,10.1637697219849,839,51722,"India",NA
"51730",75.5245056152344,11.7031240463257,839,51730,"India",NA
"51738",74.7705078125,13.0773439407349,839,51738,"India",NA
"51746",74.3971633911133,14.4074220657349,839,51746,"India",NA
"51754",73.88427734375,15.3064451217651,839,51754,"India",NA
"51762",73.6798782348633,15.7088871002197,839,51762,"India",NA
"51770",73.0471649169922,17.90673828125,839,51770,"India",NA
"51778",72.9768524169922,18.9271965026855,839,51778,"India",NA
